UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
14	1
0	3
0	0
0	1
0	9
3	1
1	55
0	81
1	0
0	6
0	0
0	0
1	52
1	0
54	9
50	5
0	2
4	88
0	3
0	6
1	23
0	0
13	13
1	35
15	1
11	4
0	10
5	0
52	9
26	11
7	1
1	5
1	1
42	6
7	3
2	0
0	33
1	0
21	4
1	11
0	0
0	16
2	41
9	1
0	0
0	9
19	36
19	8
0	0
60	16
0	5
4	0
0	0
0	1
4	0
11	1
41	3
7	2
18	2
4	1
0	22
0	0
5	18
0	10
8	1
0	0
3	2
0	0
11	0
34	7
10	6
42	2
24	1
38	9
2	6
17	3
13	1
46	4
23	7
16	3
7	1
28	8
1	0
17	1
7	2
37	0
25	3
6	1
6	1
3	3
17	1
15	6
0	0
5	1
22	3
3	1
10	0
1	0
5	0
12	9
36	12
12	0
0	0
19	6
0	0
1	33
0	4
0	1
4	10
0	4
4	9
1	0
1	3
0	0
1	52
1	41
0	81
0	2
0	9
6	0
11	1
0	0
26	0
2	0
4	0
2	0
0	2
4	1
13	3
0	1
0	0
0	35
2	55
6	90
0	11
0	6
0	679
42	987
82	1
1110	95
58	639
0	964
99	22
31	21
1	2
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
1	4
0	0
0	0
0	0
0	0
0	2
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
415	4360
0	106946
0	45
17	36895
2744	56221
13	470906
855	480655
4	264227
995	4
1213	63375
914	73074
15344	62296
19708	61302
0	51140
996	922
6	35743
9	104282
9	106186
17	56215
7	2039
0	2027
0	43
0	45
15	63368
9	67582
410033	24394
59	1014
44	670
89	632
4526	1180
0	7332
0	0
49	6
475	75
252	626
4	0
2	0
302	1291
2520	1283
15	7
5981	407
14	2210
125	80
2830	395
25	4
44	11146
93	11742
4758	9396
20	4399
116	2
801	1125
496	1066
17	1334
673	1342
90	8188
772	5445
7030	1000
102	25
1	538
0	318
49	3687
36	6474
61	9348
4	2590
7330	6794
10	230
1	5095
7	1825
0	397
1	203
1820	2301
3	3883
124	0
4990	46
2	0
16	1801
0	217
1	872
1825	7297
38	2472
140	1337
6732	1220
8	6
5604	11949
89	528
4	4396
1604	24
37	2909
12829	2018
543	17
20169	1313
2395	1657
183	120
317	1348
4782	2198
8756	4725
1240	10002
13923	17791
5627	1929
4197	1954
44565	16975
1752	3625
2140	1032
6500	911
22043	2972
1450	9785
665	7913
12998	8297
