UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
12	4
0	6
0	0
0	2
0	12
2	4
0	34
0	86
1	0
0	7
0	0
0	0
1	59
1	0
79	0
68	0
0	3
0	113
0	8
0	6
0	32
0	1
7	24
0	37
10	0
14	1
0	12
7	0
67	0
39	2
7	0
1	8
4	0
54	0
9	0
2	2
0	39
1	0
27	2
0	14
0	0
0	37
0	49
9	1
0	0
0	8
22	36
35	0
0	0
89	0
0	5
5	0
0	0
2	0
3	0
17	0
57	0
10	0
19	0
6	0
0	32
0	0
0	37
0	24
10	0
0	0
2	0
0	0
12	0
32	0
11	6
20	0
24	0
48	0
4	6
20	0
13	0
58	0
28	0
21	0
8	0
39	0
1	0
18	0
12	0
42	0
31	0
9	0
9	0
6	0
13	0
20	0
0	0
4	0
28	0
3	0
10	0
3	0
10	0
18	14
41	14
11	0
0	0
23	0
0	0
0	39
0	6
0	2
4	10
0	5
0	12
0	1
0	6
0	0
0	59
1	49
0	86
0	3
0	8
5	0
44	2
0	0
15	0
2	0
3	0
0	0
0	8
4	0
12	8
0	0
0	0
0	37
0	34
0	113
0	14
0	7
0	852
13	1012
82	0
1008	0
2	795
0	998
76	32
14	35
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
189	5279
0	242650
0	39
0	33582
960	47717
1	490734
0	492102
12	362320
658	0
207	136992
0	138432
1413	51740
5550	50732
0	28676
366	2977
16	32782
13	242422
0	242648
20	47717
7	2712
0	2707
0	37
0	39
3	137012
1	137052
293848	0
10	3162
131	2501
89	3207
7529	2230
0	13147
0	1
62	0
700	27
442	1562
1	10
1	0
221	1882
2898	1681
9	33
2851	503
9	2451
79	387
3108	1133
17	26
17	14578
10	15305
4086	13967
0	5439
126	0
351	2567
194	2107
8	2243
557	2803
56	10149
379	10288
7124	2453
61	181
2	898
0	1075
61	3536
51	7423
9	10644
0	2924
6752	11167
1	413
1	7500
0	3242
0	650
0	236
1220	4656
3	5305
142	1
5914	53
2	0
7	2308
0	533
0	1125
674	12848
33	2770
26	3474
7021	3276
3	2
3549	17859
31	1513
4	5858
1880	108
49	3514
13046	4592
1066	0
29117	1424
1885	7722
277	390
178	4526
4957	8440
2628	18203
353	20425
11104	32993
3656	8421
4202	5940
35267	51214
990	8518
1469	3773
8715	2479
34434	576
497	16264
1147	15324
